Treatment,Instar,Weight,Sex
AX,3rd,4.2,M
AX,3rd,6.9,M
AX,3rd,7.9,M
AX,3rd,8.9,M
AX,3rd,4.2,M
AX,3rd,5,M
AX,3rd,5.4,M
AX,3rd,6.3,M
AX,3rd,5.4,M
AX,3rd,4.1,M
AX,3rd,4.4,M
AX,3rd,6.1,M
AX,3rd,5.1,M
AX,3rd,4.7,M
AX,3rd,7,M
AX,3rd,5,M
AX,3rd,5.6,M
AX,3rd,6.5,M
AX,3rd,3.9,M
AX,3rd,3.6,M
AX,3rd,5.4,F
AX,3rd,5.3,F
AX,3rd,4.6,F
AX,3rd,5.3,F
AX,3rd,6.9,F
AX,3rd,5.4,F
AX,3rd,6.2,F
AX,3rd,5,F
AX,3rd,4.2,F
AX,3rd,4.9,F
AX,3rd,4.4,F
AX,3rd,5.1,F
AX,3rd,3.2,F
AX,3rd,5.9,F
AX,3rd,6.7,F
AX,3rd,5.4,F
AX,3rd,4.1,F
AX,3rd,4.6,F
AX,3rd,6.7,F
GNR,3rd,4.4,M
GNR,3rd,5.5,M
GNR,3rd,5.3,M
GNR,3rd,6,M
GNR,3rd,6.9,M
GNR,3rd,4.3,M
GNR,3rd,4,M
GNR,3rd,4.2,M
GNR,3rd,5.2,M
GNR,3rd,6.3,M
GNR,3rd,7.1,M
GNR,3rd,3.4,M
GNR,3rd,4.2,M
GNR,3rd,7,M
GNR,3rd,4.6,M
GNR,3rd,4.1,M
GNR,3rd,6.3,M
GNR,3rd,5.8,M
GNR,3rd,5.2,M
GNR,3rd,6.6,M
GNR,3rd,6,F
GNR,3rd,6.2,F
GNR,3rd,5.6,F
GNR,3rd,6.8,F
GNR,3rd,3.4,F
GNR,3rd,3.9,F
GNR,3rd,5.1,F
GNR,3rd,4.3,F
GNR,3rd,5.3,F
GNR,3rd,6.5,F
GNR,3rd,5.8,F
GNR,3rd,5.5,F
GNR,3rd,4.1,F
GNR,3rd,6.2,F
GNR,3rd,6,F
GNR,3rd,6.1,F
GNR,3rd,4.9,F
GNR,3rd,6.2,F
GNR,3rd,3.7,F
GNR,3rd,4.4,F
AX,4th,10.2,M
AX,4th,8.9,M
AX,4th,8.6,M
AX,4th,13.4,M
AX,4th,15.2,M
AX,4th,11.8,M
AX,4th,13.3,M
AX,4th,10.8,M
AX,4th,9.8,M
AX,4th,15.4,M
AX,4th,11.2,M
AX,4th,10.8,M
AX,4th,11.2,M
AX,4th,16.1,F
AX,4th,14.1,F
AX,4th,13.8,F
AX,4th,10.2,F
AX,4th,16.3,F
AX,4th,10.8,F
AX,4th,13.4,F
AX,4th,15,F
AX,4th,12.7,F
AX,4th,15.7,F
AX,4th,9.7,F
AX,4th,14.7,F
GNR,4th,12.7,M
GNR,4th,13.1,M
GNR,4th,11.5,M
GNR,4th,11.7,M
GNR,4th,17.7,M
GNR,4th,15,M
GNR,4th,16.8,M
GNR,4th,11.8,M
GNR,4th,17.5,M
GNR,4th,9.5,M
GNR,4th,13.1,M
GNR,4th,10.8,M
GNR,4th,8,M
GNR,4th,16.9,M
GNR,4th,12.4,M
GNR,4th,10.6,M
GNR,4th,15,M
GNR,4th,9.4,M
GNR,4th,12,M
GNR,4th,16.8,M
GNR,4th,13,F
GNR,4th,13.1,F
GNR,4th,12.9,F
GNR,4th,12.1,F
GNR,4th,14.5,F
GNR,4th,11.4,F
GNR,4th,16.2,F
GNR,4th,15.3,F
GNR,4th,19.3,F
GNR,4th,15.6,F
GNR,4th,13.9,F
GNR,4th,15.6,F
GNR,4th,15.4,F
GNR,4th,18.6,F
GNR,4th,15.1,F
GNR,4th,18.6,F
GNR,4th,16.4,F
GNR,4th,19.7,F
GNR,4th,16.7,F
GNR,4th,16.5,F
GNR,4th,14.4,F
GNR,4th,17.5,F
GNR,4th,15.9,M
GNR,4th,14.2,M
AX,4th,15,M
AX,4th,12.2,M
AX,4th,13.4,M
AX,4th,12,M
AX,4th,19.3,M
AX,4th,15.2,M
AX,4th,14.7,M
AX,4th,14.3,M
AX,4th,15,M
AX,4th,12.7,M
AX,4th,10.4,M
AX,4th,12,M
AX,4th,11.2,M
AX,4th,15.2,F
AX,4th,13,F
AX,5th,38,F
AX,5th,36.3,F
AX,5th,36.8,F
AX,5th,34.3,F
AX,5th,24.6,F
AX,5th,21.8,F
AX,5th,36.8,F
AX,5th,24.9,F
AX,5th,26.9,F
AX,5th,30.4,F
AX,5th,29.3,M
AX,5th,31.7,M
AX,5th,20.8,M
AX,5th,29.4,M
AX,5th,32.3,M
AX,5th,29.9,M
AX,5th,34.2,M
AX,5th,36.2,M
AX,5th,34.7,M
AX,5th,32.5,M
GNR,5th,38.4,M
GNR,5th,33.8,M
GNR,5th,40.4,M
GNR,5th,45.6,M
GNR,5th,37.3,M
GNR,5th,33.7,M
GNR,5th,36.3,M
GNR,5th,42.7,F
GNR,5th,40.1,F
GNR,5th,33.6,F
GNR,5th,31.2,F
GNR,5th,34.5,F
GNR,5th,39.5,F
GNR,5th,36.6,F
GNR,5th,33.9,F
GNR,5th,33.8,F
