"Habitat","Treatment","Abundance"
"Forest","Control",27
"Forest","Pesticide",24
"Forest","Control",38
"Forest","Pesticide",25
"Forest","Control",31
"Forest","Pesticide",34
"Forest","Control",32
"Forest","Pesticide",19
"Grassland","Control",17
"Grassland","Pesticide",13
"Grassland","Control",26
"Grassland","Pesticide",17
"Grassland","Control",22
"Grassland","Pesticide",16
"Grassland","Control",17
"Grassland","Pesticide",24
"Wetland","Control",17
"Wetland","Pesticide",0
"Wetland","Control",19
"Wetland","Pesticide",8
"Wetland","Control",10
"Wetland","Pesticide",9
"Wetland","Control",10
"Wetland","Pesticide",6
